path,group_name,target
./data/visdiff-imagenet-r/imagenet-r/n04147183/art_2.jpg,art,schooner
./data/visdiff-imagenet-r/imagenet-r/n03775071/art_2.jpg,art,mitten
./data/visdiff-imagenet-r/imagenet-r/n02128757/art_3.jpg,art,snow_leopard
./data/visdiff-imagenet-r/imagenet-r/n01498041/art_1.jpg,art,stingray
./data/visdiff-imagenet-r/imagenet-r/n01833805/art_1.jpg,art,hummingbird
./data/visdiff-imagenet-r/imagenet-r/n02110958/art_3.jpg,art,pug
./data/visdiff-imagenet-r/imagenet-r/n01855672/art_3.jpg,art,goose
./data/visdiff-imagenet-r/imagenet-r/n02480855/art_6.jpg,art,gorilla
./data/visdiff-imagenet-r/imagenet-r/n02117135/art_5.jpg,art,hyena
./data/visdiff-imagenet-r/imagenet-r/n01518878/art_4.jpg,art,ostrich
./data/visdiff-imagenet-r/imagenet-r/n01784675/art_2.jpg,art,centipede
./data/visdiff-imagenet-r/imagenet-r/n04310018/art_11.jpg,art,steam_locomotive
./data/visdiff-imagenet-r/imagenet-r/n01644373/art_12.jpg,art,tree_frog
./data/visdiff-imagenet-r/imagenet-r/n02279972/art_16.jpg,art,monarch
./data/visdiff-imagenet-r/imagenet-r/n03649909/art_3.jpg,art,lawn_mower
./data/visdiff-imagenet-r/imagenet-r/n01531178/art_25.jpg,art,goldfinch
./data/visdiff-imagenet-r/imagenet-r/n01514859/art_0.jpg,art,hen
./data/visdiff-imagenet-r/imagenet-r/n01847000/art_0.jpg,art,drake
./data/visdiff-imagenet-r/imagenet-r/n02110958/art_10.jpg,art,pug
./data/visdiff-imagenet-r/imagenet-r/n03594945/art_3.jpg,art,jeep
./data/visdiff-imagenet-r/imagenet-r/n01882714/art_13.jpg,art,koala
./data/visdiff-imagenet-r/imagenet-r/n02395406/art_12.jpg,art,hog
./data/visdiff-imagenet-r/imagenet-r/n02423022/art_6.jpg,art,gazelle
./data/visdiff-imagenet-r/imagenet-r/n02398521/art_16.jpg,art,hippopotamus
./data/visdiff-imagenet-r/imagenet-r/n03124170/art_19.jpg,art,cowboy_hat
./data/visdiff-imagenet-r/imagenet-r/n04409515/art_2.jpg,art,tennis_ball
./data/visdiff-imagenet-r/imagenet-r/n02206856/art_17.jpg,art,bee
./data/visdiff-imagenet-r/imagenet-r/n02110185/art_2.jpg,art,Siberian_husky
./data/visdiff-imagenet-r/imagenet-r/n02481823/art_19.jpg,art,chimpanzee
./data/visdiff-imagenet-r/imagenet-r/n01806143/art_10.jpg,art,peacock
./data/visdiff-imagenet-r/imagenet-r/n01514859/art_6.jpg,art,hen
./data/visdiff-imagenet-r/imagenet-r/n02445715/art_6.jpg,art,skunk
./data/visdiff-imagenet-r/imagenet-r/n02364673/art_15.jpg,art,guinea_pig
./data/visdiff-imagenet-r/imagenet-r/n02437616/art_1.jpg,art,llama
./data/visdiff-imagenet-r/imagenet-r/n04310018/art_9.jpg,art,steam_locomotive
./data/visdiff-imagenet-r/imagenet-r/n02007558/art_1.jpg,art,flamingo
./data/visdiff-imagenet-r/imagenet-r/n01614925/art_2.jpg,art,bald_eagle
./data/visdiff-imagenet-r/imagenet-r/n02051845/art_2.jpg,art,pelican
./data/visdiff-imagenet-r/imagenet-r/n04552348/art_1.jpg,art,warplane
./data/visdiff-imagenet-r/imagenet-r/n03947888/art_4.jpg,art,pirate
./data/visdiff-imagenet-r/imagenet-r/n07753275/art_2.jpg,art,pineapple
./data/visdiff-imagenet-r/imagenet-r/n04275548/art_0.jpg,art,spider_web
./data/visdiff-imagenet-r/imagenet-r/n03124170/art_7.jpg,art,cowboy_hat
./data/visdiff-imagenet-r/imagenet-r/n04275548/art_2.jpg,art,spider_web
./data/visdiff-imagenet-r/imagenet-r/n03272010/art_5.jpg,art,electric_guitar
./data/visdiff-imagenet-r/imagenet-r/n02110958/art_0.jpg,art,pug
./data/visdiff-imagenet-r/imagenet-r/n04192698/art_5.jpg,art,shield
./data/visdiff-imagenet-r/imagenet-r/n02071294/art_1.jpg,art,killer_whale
./data/visdiff-imagenet-r/imagenet-r/n01843383/art_26.jpg,art,toucan
./data/visdiff-imagenet-r/imagenet-r/n02480495/art_14.jpg,art,orangutan
./data/visdiff-imagenet-r/imagenet-r/n04522168/art_0.jpg,art,vase
./data/visdiff-imagenet-r/imagenet-r/n07697313/art_34.jpg,art,cheeseburger
./data/visdiff-imagenet-r/imagenet-r/n10565667/art_2.jpg,art,scuba_diver
./data/visdiff-imagenet-r/imagenet-r/n02395406/art_0.jpg,art,hog
./data/visdiff-imagenet-r/imagenet-r/n02106030/art_6.jpg,art,collie
./data/visdiff-imagenet-r/imagenet-r/n01843383/art_29.jpg,art,toucan
./data/visdiff-imagenet-r/imagenet-r/n07734744/art_0.jpg,art,mushroom
./data/visdiff-imagenet-r/imagenet-r/n02110185/art_3.jpg,art,Siberian_husky
./data/visdiff-imagenet-r/imagenet-r/n01534433/art_5.jpg,art,junco
./data/visdiff-imagenet-r/imagenet-r/n02138441/art_18.jpg,art,meerkat
./data/visdiff-imagenet-r/imagenet-r/n02138441/art_15.jpg,art,meerkat
./data/visdiff-imagenet-r/imagenet-r/n07614500/art_3.jpg,art,ice_cream
./data/visdiff-imagenet-r/imagenet-r/n02007558/art_14.jpg,art,flamingo
./data/visdiff-imagenet-r/imagenet-r/n02226429/art_0.jpg,art,grasshopper
./data/visdiff-imagenet-r/imagenet-r/n02802426/art_2.jpg,art,basketball
./data/visdiff-imagenet-r/imagenet-r/n01820546/art_19.jpg,art,lorikeet
./data/visdiff-imagenet-r/imagenet-r/n01770393/art_2.jpg,art,scorpion
./data/visdiff-imagenet-r/imagenet-r/n01847000/art_4.jpg,art,drake
./data/visdiff-imagenet-r/imagenet-r/n02138441/art_11.jpg,art,meerkat
./data/visdiff-imagenet-r/imagenet-r/n02950826/art_2.jpg,art,cannon
./data/visdiff-imagenet-r/imagenet-r/n07742313/art_1.jpg,art,Granny_Smith
./data/visdiff-imagenet-r/imagenet-r/n02483362/art_4.jpg,art,gibbon
./data/visdiff-imagenet-r/imagenet-r/n02814860/art_8.jpg,art,beacon
./data/visdiff-imagenet-r/imagenet-r/n07697313/art_1.jpg,art,cheeseburger
./data/visdiff-imagenet-r/imagenet-r/n01644373/art_2.jpg,art,tree_frog
./data/visdiff-imagenet-r/imagenet-r/n02123045/art_2.jpg,art,tabby
./data/visdiff-imagenet-r/imagenet-r/n02447366/art_1.jpg,art,badger
./data/visdiff-imagenet-r/imagenet-r/n02130308/art_6.jpg,art,cheetah
