path,group_name,subset
./data/lamem/images/00036052.jpg,not memorable,train
./data/lamem/images/00058703.jpg,memorable,train
./data/lamem/images/00008758.jpg,memorable,train
./data/lamem/images/00002513.jpg,not memorable,train
./data/lamem/images/00001836.jpg,memorable,train
./data/lamem/images/00050748.jpg,memorable,train
./data/lamem/images/00050990.jpg,memorable,train
./data/lamem/images/00048979.jpg,memorable,train
./data/lamem/images/00004258.jpg,not memorable,train
./data/lamem/images/00006954.jpg,memorable,train
./data/lamem/images/00053195.jpg,memorable,train
./data/lamem/images/00048702.jpg,not memorable,train
./data/lamem/images/00003915.jpg,not memorable,train
./data/lamem/images/00032314.jpg,not memorable,train
./data/lamem/images/00033667.jpg,not memorable,train
./data/lamem/images/00008729.jpg,not memorable,train
./data/lamem/images/00034556.jpg,not memorable,train
./data/lamem/images/00034877.jpg,memorable,train
./data/lamem/images/00010914.jpg,not memorable,train
./data/lamem/images/00043756.jpg,memorable,train
./data/lamem/images/00024867.jpg,not memorable,train
./data/lamem/images/00058430.jpg,not memorable,train
./data/lamem/images/00018451.jpg,memorable,train
./data/lamem/images/00044184.jpg,memorable,train
./data/lamem/images/00022780.jpg,memorable,train
./data/lamem/images/00011818.jpg,not memorable,train
./data/lamem/images/00047603.jpg,not memorable,train
./data/lamem/images/00057785.jpg,memorable,train
./data/lamem/images/00042948.jpg,not memorable,train
./data/lamem/images/00041854.jpg,not memorable,train
./data/lamem/images/00056314.jpg,memorable,train
./data/lamem/images/00016114.jpg,memorable,train
./data/lamem/images/00057686.jpg,not memorable,train
./data/lamem/images/00031496.jpg,memorable,train
./data/lamem/images/00003510.jpg,memorable,train
./data/lamem/images/00011602.jpg,memorable,train
./data/lamem/images/00032362.jpg,not memorable,train
./data/lamem/images/00012425.jpg,not memorable,train
./data/lamem/images/00018860.jpg,not memorable,train
./data/lamem/images/00034711.jpg,not memorable,train
./data/lamem/images/00057827.jpg,memorable,train
./data/lamem/images/00034174.jpg,not memorable,train
./data/lamem/images/00051819.jpg,memorable,train
./data/lamem/images/00033077.jpg,memorable,train
./data/lamem/images/00052426.jpg,memorable,train
./data/lamem/images/00004493.jpg,memorable,train
./data/lamem/images/00054826.jpg,memorable,train
./data/lamem/images/00032154.jpg,not memorable,train
./data/lamem/images/00008171.jpg,not memorable,train
./data/lamem/images/00013122.jpg,memorable,train
./data/lamem/images/00056127.jpg,memorable,train
./data/lamem/images/00042210.jpg,not memorable,train
./data/lamem/images/00019938.jpg,not memorable,train
./data/lamem/images/00025230.jpg,memorable,train
./data/lamem/images/00017940.jpg,not memorable,train
./data/lamem/images/00026605.jpg,memorable,train
./data/lamem/images/00053474.jpg,memorable,train
./data/lamem/images/00002879.jpg,memorable,train
./data/lamem/images/00030183.jpg,not memorable,train
./data/lamem/images/00054536.jpg,memorable,train
./data/lamem/images/00019683.jpg,memorable,train
./data/lamem/images/00044207.jpg,not memorable,train
./data/lamem/images/00034221.jpg,not memorable,train
./data/lamem/images/00058647.jpg,memorable,train
./data/lamem/images/00042496.jpg,not memorable,train
./data/lamem/images/00051514.jpg,not memorable,train
./data/lamem/images/00022392.jpg,not memorable,train
./data/lamem/images/00034078.jpg,not memorable,train
./data/lamem/images/00005924.jpg,not memorable,train
./data/lamem/images/00026957.jpg,memorable,train
./data/lamem/images/00016222.jpg,not memorable,train
./data/lamem/images/00037948.jpg,not memorable,train
./data/lamem/images/00004226.jpg,not memorable,train
./data/lamem/images/00001611.jpg,memorable,train
./data/lamem/images/00016366.jpg,not memorable,train
./data/lamem/images/00027083.jpg,not memorable,train
./data/lamem/images/00015295.jpg,not memorable,train
./data/lamem/images/00057764.jpg,not memorable,train
./data/lamem/images/00007658.jpg,not memorable,train
./data/lamem/images/00053436.jpg,not memorable,train
./data/lamem/images/00037422.jpg,not memorable,train
./data/lamem/images/00003950.jpg,memorable,train
./data/lamem/images/00026512.jpg,memorable,train
./data/lamem/images/00048978.jpg,memorable,train
./data/lamem/images/00034957.jpg,not memorable,train
./data/lamem/images/00056631.jpg,memorable,train
./data/lamem/images/00058133.jpg,not memorable,train
./data/lamem/images/00036022.jpg,not memorable,train
./data/lamem/images/00008542.jpg,memorable,train
./data/lamem/images/00002277.jpg,not memorable,train
./data/lamem/images/00021742.jpg,not memorable,train
./data/lamem/images/00031585.jpg,memorable,train
./data/lamem/images/00027887.jpg,memorable,train
./data/lamem/images/00044795.jpg,not memorable,train
./data/lamem/images/00037192.jpg,not memorable,train
./data/lamem/images/00045641.jpg,not memorable,train
./data/lamem/images/00034145.jpg,not memorable,train
./data/lamem/images/00016735.jpg,memorable,train
./data/lamem/images/00031962.jpg,memorable,train
./data/lamem/images/00039484.jpg,memorable,train
./data/lamem/images/00005861.jpg,memorable,train
./data/lamem/images/00026190.jpg,memorable,train
./data/lamem/images/00008003.jpg,memorable,train
./data/lamem/images/00019467.jpg,memorable,train
./data/lamem/images/00036316.jpg,not memorable,train
./data/lamem/images/00047677.jpg,memorable,train
./data/lamem/images/00057590.jpg,not memorable,train
./data/lamem/images/00024472.jpg,memorable,train
./data/lamem/images/00036298.jpg,not memorable,train
./data/lamem/images/00055455.jpg,not memorable,train
./data/lamem/images/00007039.jpg,memorable,train
./data/lamem/images/00042855.jpg,not memorable,train
./data/lamem/images/00049611.jpg,memorable,train
./data/lamem/images/00000261.jpg,memorable,train
./data/lamem/images/00032372.jpg,memorable,train
./data/lamem/images/00006167.jpg,not memorable,train
./data/lamem/images/00022818.jpg,memorable,train
./data/lamem/images/00003997.jpg,not memorable,train
./data/lamem/images/00006040.jpg,not memorable,train
./data/lamem/images/00032998.jpg,not memorable,train
./data/lamem/images/00008551.jpg,memorable,train
./data/lamem/images/00055891.jpg,memorable,train
./data/lamem/images/00056421.jpg,not memorable,train
./data/lamem/images/00022292.jpg,memorable,train
./data/lamem/images/00040557.jpg,memorable,train
./data/lamem/images/00057250.jpg,memorable,train
./data/lamem/images/00010700.jpg,memorable,train
./data/lamem/images/00010353.jpg,not memorable,train
./data/lamem/images/00012067.jpg,not memorable,train
